Video ID,Title,View Count,Like Count,Comment Count,Category
"wT1xgwuyKAQ","Anthony Richardson's late touchdown leads Colts past Jets | Game Recap","12371","65","8","Gaming"
"GWJixdx9kgM","I Tried Gaming On A APPLE SETUP…","145747","3877","671","Gaming"
"BNKpwhN41lY","Surviving Every GIANT DATING Game","1751492","16943","1833","Gaming"
"GdFIjsMfSc8","Are We Out of Touch? - $1000 Gaming PC Challenge","1943622","86784","3287","Gaming"
"cSLNO-FiipQ","REDMAGIC Gaming Laptop Unboxing + Gameplay Experience (Black Ops 6, Red Dead Redemption)","191071","8787","450","Gaming"
"4MlKygZKFaM","Budget Gaming PC vs PS5 Pro Challenge","114431","3898","1201","Gaming"
"bnReCGmZTxU","Rarity: Retro Video Game Collecting in the Modern Era","0","2400","191","Gaming"
"4-lAbXN9QtQ","Top 25 NEW Single Player Games of 2024","473553","14354","1212","Gaming"
"vXb1FJ9MGHE","Top 25 MOST INSANE New Games from GAMESCOM coming in 2024 & 2025","1289063","10953","805","Gaming"
"7gB5oogdR7I","Cowboys-Texans game continues as scheduled despite metal falling from roof at AT&T Stadium","3836","28","9","Gaming"
"BBFswfBrEcc","I FINALLY ESCAPED FROM KAMLA HOUSE | KAMLA INDIAN GAME","32222954","910181","46679","Gaming"
"K5AphFV34so","Top 25 MOST INSANE New Games from SUMMER GAME FEST coming in 2024 & 2025","1659300","12744","716","Gaming"
"Tt3c_9bgjQI","Are The Game Awards Rigged? Big Game of the Year Changes News","107","13","8","Gaming"
"OeZ2n22334k","11 BRAND NEW Xbox & Game Pass Games | Any Worth It?!","15750","299","49","Gaming"
"GdFIjsMfSc8","Are We Out of Touch? - $1000 Gaming PC Challenge","1943622","86784","3287","Gaming"
"a1k1cp_rz54","NO MORE STICK DRIFT! Custom PS5 controllers by Get A Grip Gaming 🏎🏁 #GAMING #PS5 #CONTROLLER #SETUP","59209","3839","59","Gaming"
"3KCaS7EK6Rc","Taking a look at  ICY DOCK's Gen 5 M.2 Expander Featuring Crucial T705 Memory","39061","2108","187","Gaming"
"qICOo7qxmJw","10 Year Gaming Setup Progression...","377432","6251","472","Gaming"
