Category,Avg_View_Count,Avg_Like_Count,Avg_Comment_Count
Gaming,8037953.8448,218652.6496,7838.7008
Entertainment,3225478.6101083034,36082.24187725632,1423.71119133574
Sports,6654073.674528302,49381.53066037736,1792.8514150943397
Music,2.786080893968254E7,237579.7873015873,7468.779365079365
Technology,2624921.6603174605,51723.13333333333,2745.361904761905
News,1312750.6496815286,15254.081210191083,1853.4554140127389
